Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,511.0,436.0,68.0,7.0,"December 31, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,87,2760.0,2412.0,330.0,18.0,"December 31, 2020"
CITY OF GOLETA,38,766.0,643.0,117.0,6.0,"December 31, 2020"
COMMUNITY OF ISLA VISTA,6,663.0,639.0,23.0,1.0,"December 31, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,14,543.0,473.0,65.0,5.0,"December 31, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,426.0,364.0,54.0,8.0,"December 31, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,58,1831.0,1683.0,135.0,13.0,"December 31, 2020"
FEDERAL PRISON IN LOMPOC,0,1039.0,1034.0,1.0,4.0,"December 31, 2020"
CITY OF SANTA MARIA,98,6452.0,5956.0,415.0,81.0,"December 31, 2020"
COMMUNITY OF ORCUTT,20,867.0,780.0,78.0,9.0,"December 31, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",14,708.0,652.0,48.0,8.0,"December 31, 2020"
Out of County,,,,,,"December 31, 2020"
Pending,30,825.0,703.0,122.0,0.0,"December 31, 2020"
Total** ,396,17391.0,15775.0,1456.0,160.0,"December 31, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",15,488.0,434.0,47.0,7.0,"December 30, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,66,2673.0,2416.0,240.0,17.0,"December 30, 2020"
CITY OF GOLETA,22,728.0,637.0,85.0,6.0,"December 30, 2020"
COMMUNITY OF ISLA VISTA,2,658.0,639.0,18.0,1.0,"December 30, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,11,529.0,462.0,62.0,5.0,"December 30, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,421.0,370.0,43.0,8.0,"December 30, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1773.0,1674.0,87.0,12.0,"December 30, 2020"
FEDERAL PRISON IN LOMPOC,0,1039.0,1035.0,0.0,4.0,"December 30, 2020"
CITY OF SANTA MARIA,85,6359.0,5902.0,377.0,80.0,"December 30, 2020"
COMMUNITY OF ORCUTT,10,847.0,769.0,69.0,9.0,"December 30, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",15,694.0,645.0,41.0,8.0,"December 30, 2020"
Out of County,,,,,,"December 30, 2020"
Pending,27,799.0,699.0,100.0,0.0,"December 30, 2020"
Total** ,280,17008.0,15682.0,1169.0,157.0,"December 30, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",16,474.0,423.0,44.0,7.0,"December 29, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,45,2607.0,2344.0,246.0,17.0,"December 29, 2020"
